category_name,category_url,наименование,цена,описание,характеристики
наименование,цена,описание,Степень блеска поверхности,Колеровка,Тип работ,Бренд,Страна производителя,Цвет,Расход,"Состав,",Разбавитель (растворитель),Артикул,Готовность к применению,Способ нанесения,Время полного высыхания (ч),Рекомендованное количество слоев покрытия,Фасовка (л)
Грунт-эмаль яхтная EXPRESSO RAL8017 шоколадная 0.9 кг,790,"Грунтэмаль яхтная EXPRESSO Цвет  шоколадный Вес упаковки  09 кг Однокомпонентная полиорганосиликатная композиция для окраски Образует матовое покрытие обладающее высокой прочностью влагостойкостью атмосферостойкостью выдерживающее неоднократную очистку с применением моющих средств

Особенности применения

Эмаль предназначена для окраски судов ниже ватерлинии а также для антикоррозийной защиты металлических поверхностей алюминий цветной и черные металлы пластика древесины и минеральных оснований эксплуатируемых в агрессивной промышленной среде Можно работать при отрицательных температурах до 20С

Технология нанесения

Предварительная подготовка поверхности под покраску обязательна С нее удаляются механические загрязнения водорастворимые соли жирные и масляные пятна следы ржавчины Снимается старое лакокрасочное покрытие имеющее слабое сцепление с поверхностью После этого необходимо провести обезжиривание с помощью ксилола

Эмаль перед использованием тщательно размешать При необходимости ее можно разбавить ксилолом но не более чем на 5 от общей массы состава Инструменты для работы кисть валик Актуален метод пневматического распыления Покрытие создается толщиной в 2  3 слоя 

В среднем расход на 1 м2 поверхности составляет 300  350 грамм При условии что толщина покрытия составляет 100 мкм

Межслойная сушка обязательна Ее длительность  2 часа Окончательная сушка требует 4 часа Полная полимеризация покрытия происходит в течение 72 часов при постоянной температуре не менее 20С В это время допускается спуск в водную среду

Техника безопасности

Хранение продукции осуществляется в сухом месте защищенном от внешних воздействий удаленном от источников огня недоступном для детей Окрашивание производится только с применением средств индивидуальной защиты Во время работ беречь глаза от попадания состава избегать контакта с открытыми участками кожи Эмаль внутрь не принимать пары не вдыхать В экстренной ситуации обратиться за помощью к врачу","{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Область применения': 'для защиты и окраски цветных металлов\xa0/\xa0для защиты металла в агрессивной среде\xa0/\xa0для защиты бетонных поверхностей в агрессивной среде', 'Степень блеска поверхности': 'матовая', 'Тип поверхности': 'алюминий\xa0/\xa0дерево\xa0/\xa0пластик / ПВХ\xa0/\xa0минеральные поверхности\xa0/\xa0металл', 'Колеровка': 'готовый цвет', 'Готовность к применению': 'готов к применению', 'Бренд': 'EXPRESSO', 'Страна производителя': 'РОССИЯ', 'Цвет': 'шоколадный', 'Разбавитель (растворитель)': 'ксилол', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0безвоздушное', 'Время полного высыхания (ч)': '4', 'Расход (1 слой), (г/кв.м)': '300-350', 'Температура применения, (град. C)': 'от -20', 'Рекомендованное количество слоев покрытия': '2-3', 'Время высыхания между слоями (ч)': '2', 'Поверхность готова к нагрузке (ч)': '72', 'Фасовка, (кг)': '0.9'}"
Грунт-эмаль яхтная EXPRESSO RAL5010 темно-синяя 0.9 кг,790,"Грунтэмаль яхтная EXPRESSO Цвет  темносиний Вес упаковки  09 кг Однокомпонентная полиорганосиликатная композиция для окраски Образует матовое покрытие обладающее высокой прочностью влагостойкостью атмосферостойкостью выдерживающее неоднократную очистку с применением моющих средств

Особенности применения

Эмаль предназначена для окраски судов ниже ватерлинии а также для антикоррозийной защиты металлических поверхностей алюминий цветной и черные металлы пластика древесины и минеральных оснований эксплуатируемых в агрессивной промышленной среде Можно работать при отрицательных температурах до 20С

Технология нанесения

Предварительная подготовка поверхности под покраску обязательна С нее удаляются механические загрязнения водорастворимые соли жирные и масляные пятна следы ржавчины Снимается старое лакокрасочное покрытие имеющее слабое сцепление с поверхностью После этого необходимо провести обезжиривание с помощью ксилола

Эмаль перед использованием тщательно размешать При необходимости ее можно разбавить ксилолом но не более чем на 5 от общей массы состава Инструменты для работы кисть валик Актуален метод пневматического распыления Покрытие создается толщиной в 2  3 слоя 

В среднем расход на 1 м2 поверхности составляет 300  350 грамм При условии что толщина покрытия составляет 100 мкм

Межслойная сушка обязательна Ее длительность  2 часа Окончательная сушка требует 4 часа Полная полимеризация покрытия происходит в течение 72 часов при постоянной температуре не менее 20С В это время допускается спуск в водную среду

Техника безопасности

Хранение продукции осуществляется в сухом месте защищенном от внешних воздействий удаленном от источников огня недоступном для детей Окрашивание производится только с применением средств индивидуальной защиты Во время работ беречь глаза от попадания состава избегать контакта с открытыми участками кожи Эмаль внутрь не принимать пары не вдыхать В экстренной ситуации обратиться за помощью к врачу","{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Область применения': 'для защиты и окраски цветных металлов\xa0/\xa0для защиты металла в агрессивной среде\xa0/\xa0для защиты бетонных поверхностей в агрессивной среде', 'Степень блеска поверхности': 'матовая', 'Тип поверхности': 'алюминий\xa0/\xa0дерево\xa0/\xa0пластик / ПВХ\xa0/\xa0минеральные поверхности\xa0/\xa0металл', 'Колеровка': 'готовый цвет', 'Готовность к применению': 'готов к применению', 'Бренд': 'EXPRESSO', 'Страна производителя': 'РОССИЯ', 'Цвет': 'темно-синий', 'Разбавитель (растворитель)': 'ксилол', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0безвоздушное', 'Время полного высыхания (ч)': '4', 'Расход (1 слой), (г/кв.м)': '300-350', 'Температура применения, (град. C)': 'от -20', 'Рекомендованное количество слоев покрытия': '2-3', 'Время высыхания между слоями (ч)': '2', 'Поверхность готова к нагрузке (ч)': '72', 'Фасовка, (кг)': '0.9'}"
Грунт-эмаль яхтная до -20°С ниже ватерлинии EXPRESSO RAL6029 зеленый (0.9кг),599,"Грунтэмаль яхтная EXPRESSO 

Преимущества

Долговечная срок безремонтной эксплуатации судов более 10 лет Нанесения при отрицательных температурах возможно нанесение при температуре от 20С до 35С Широкий спектр окрашиваемых материалов алюминий цветные и черные металлы а также пластик древесина минеральные поверхности Область применения Для окраски судов ниже ватерлинии а также для антикоррозийной защиты металлических поверхностей пластика древесины минеральных поверхностей Образует матовое покрытие Высокая прочность влагостойкость атмосферостойкость 

Подготовка поверхности 

Поверхность очистить от водорастворимых солей жиров масел ржавчины следов старой краски Обезжирить ксилолом Тщательно перемешать в случае необходимости разбавить ксилолом не более 5  от общей массы 

Нанесение

Можно производить валиком кистью пневматическим безвоздушным распылением Наносить в 23 слоя Расход При толщине покрытия 100 мкм составляет 300350 грм2 в зависимости от окрашиваемого покрытия 

Время высыхания

Межслойная сушка  2 часа окончательная сушка  4 часа Полная полимеризация  72 часа возможен спуск в водную среду при постоянной температуре 20С 

Состав

Полиорганосиликатная композиция модифицированная акрилами и иными смолами в ксилоле 

Гарантийный срок хранения 

24 месяца со дня изготовления","{'Тип работ': 'наружные работы', 'Область применения': 'для надводного борта', 'Степень блеска поверхности': 'матовая', 'Тип поверхности': 'дерево\xa0/\xa0пластик / ПВХ\xa0/\xa0минеральные поверхности\xa0/\xa0металл', 'Колеровка': 'нет', 'Состав,': 'акриловый\xa0/\xa0смолы', 'Готовность к применению': 'готов к применению', 'Бренд': 'EXPRESSO', 'Страна производителя': 'РОССИЯ', 'Цвет': 'зеленый', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0пневматическое', 'Время полного высыхания (ч)': '4', 'Расход (1 слой), (г/кв.м)': '300-350', 'Рекомендованное количество слоев покрытия': '2-3', 'Время высыхания между слоями (ч)': '2', 'Поверхность готова к нагрузке (ч)': '72', 'Фасовка, (кг)': '0.9'}"
Грунт-эмаль яхтная Лаковар до -20С RAL3020 красный (0.9кг),499,"Грунтэмаль яхтная Лаковар до 20С RAL3020 красный 09кг  однокомпонентная полиорганосиликатная композиция для окраски ниже ватерлинии

Особенности

нанесение при отрицательных температурах до 20С

для антикоррозионной защиты металлических поверхностей эксплуатируемых в агрессивной среде

образует матовое покрытие с высокой прочностью влагостойкостью атмосферостойкостью

окраска по алюминию цветному и чёрному металлу пластику древесине минеральным поверхностям","{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Область применения': 'для защиты и окраски цветных металлов\xa0/\xa0для защиты металла в агрессивной среде\xa0/\xa0для защиты бетонных поверхностей в агрессивной среде', 'Степень блеска поверхности': 'матовая', 'Тип поверхности': 'алюминий\xa0/\xa0дерево\xa0/\xa0пластик / ПВХ\xa0/\xa0минеральные поверхности\xa0/\xa0металл', 'Колеровка': 'нет', 'Готовность к применению': 'готов к применению', 'Бренд': 'EXPRESSO', 'Страна производителя': 'РОССИЯ', 'Цвет': 'красный', 'Разбавитель (растворитель)': 'ксилол', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0безвоздушное', 'Время полного высыхания (ч)': '4', 'Расход (1 слой), (г/кв.м)': '300-350', 'Температура применения, (град. C)': 'от -20', 'Рекомендованное количество слоев покрытия': '2-3', 'Время высыхания между слоями (ч)': '2', 'Поверхность готова к нагрузке (ч)': '72', 'Фасовка, (кг)': '0.9'}"
Эмаль для радиаторов отопления KU-5103 Kudo черная матовая,320,"Алкидная эмаль KUDO предназначена для защитнодекоративной окраски систем отопления батарей радиаторов трубопроводов водоснабжения Эмаль быстро высыхает обладает высокой укрывающей способностью превосходно подходит как для окрашивания новых поверхностей так и для ремонта старых

После высыхания эмаль образует надежное атмосферостойкое покрытие с высокой твердостью и длительным сроком эксплуатации способное выдерживать нагревание до 80С в течение всего срока службы окрашенного элемента системы отопления

Покрытие имеет хорошую сопротивляемость к удару изгибу и другим механическим воздействиям устойчиво к кратковременному воздействию воды теплоносителей на основе этиленгликоля бытовым моющим средствам

Применение



Во избежание попадания следов аэрозоля рекомендуется защищать поверхности не подлежащие окраске

Для достижения наилучших результатов эмаль следует наносить при температуре окружающей среды не ниже 10С

Перед использованием баллон энергично встряхивать в течение 23х минут

Эмаль наносить с расстояния 2530 см на предварительно обезжиренную зачищенную и загрунтованную поверхность в 23 слоя с промежуточной сушкой 1015 минут при температуре 20С Время сушки на отлип при температуре 20С не менее 1 часа Время полного высыхания при температуре 20С 12 часов

Внимание По окончании работы во избежание засорения головки распылителя перевернуть баллон вверх дном и распылять до тех пор пока не перестанет поступать эмаль

Важно Наносить последующие слои ЛКМ необходимо либо не позднее чем через 2 часа либо не ранее чем через 2 недели Не требует дополнительного покрытия лаком","{'Тип работ': 'внутренние работы', 'Область применения': 'для жилых и офисных помещений', 'Степень блеска поверхности': 'матовая', 'Способ нанесения': 'вручную', 'Разбавитель (растворитель)': 'алкидный растворитель 2010', 'Тип поверхности': 'металл', 'Колеровка': 'нет', 'Состав,': 'алкидная смола', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'черный', 'Артикул': 'KU-5103', 'Время полного высыхания (ч)': '12', 'Время высыхания на отлип, (ч)': '1', 'Расход (1 слой), (г/кв.м)': '260', 'Температура применения, (град. C)': '+20', 'Рекомендованное количество слоев покрытия': '2-3'}"
Грунт-эмаль аэрозольная Kudo для пластика RAL 3020 Красная 0.52 л,320,"Грунтэмаль аэрозольная Kudo для пластика RAL 8017 красная Образует прочное покрытие которое не трескается даже в условиях низких температур Хорошая адгезия укрывистость устойчивость к атмосферным воздействиям Сохраняет свою эластичность после высыхания Не требует предварительного грунтования

В составе содержатся компоненты повышающие устойчивость лакокрасочного покрытия к механическим воздействиям и истиранию

Особенности применения

Для наружных и внутренних работ Предназначена для декоративной окраски поверхностей из большинства пластмасс пластиковые детали интерьера мебель садовый инвентарь и т д за исключением полиэтилена и полиуретана

Технология нанесения

Чтобы при работе аэрозоль не попал на прилегающие поверхности их нужно защитить Для достижения наилучших результатов грунтэмаль наносится при температуре окружающей среды не ниже 10С Перед использованием баллон нужно активно встряхнуть в течение 1  2 минут

Перед обработкой пластиковая поверхность подготавливается Она должна быть чистой сухой При необходимости делается обезжиривание Для подготовки поверхности рекомендуется использовать удалитель силикона KUDO

Наносится грунтэмаль с расстояния в 25  30 см равномерным слоем При температуре 20С на его высыхание уйдет около 20 минут 

По окончании работы во избежание засорения головки распылителя перевернуть баллон вверх дном и распылять до тех пор пока не перестанет поступать состав

Техника безопасности

Хранение продукции осуществляется в месте защищенном от внешних воздействий удаленном от источников огня и тепла недоступном для детей Грунтование выполнять с использованием средств индивидуальной защиты Рядом с местом распыления не должно быть огня в любых его проявлениях Пары продукта не вдыхать избегать контакта с открытыми участками кожи попаданий в глаза В экстренной ситуации обратиться за помощью к врачу","{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Способ нанесения': 'через форсунку баллона', 'Тип поверхности': 'пластик / ПВХ', 'Колеровка': 'готовый цвет', 'Состав,': 'полиолефиновые смолы', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'красный', 'Артикул': 'KU-6006', 'Время полного высыхания (ч)': '2', 'Время высыхания на отлип, (ч)': '20 минут', 'Расход (1 слой), (г/кв.м)': 'примерно 2 м.кв/баллон', 'Температура применения, (град. C)': 'не ниже +10', 'Рекомендованное количество слоев покрытия': '1-2'}"
Грунт-эмаль аэрозольная Kudo для пластика RAL 7031 Серая 0.52 л,320,"Грунтэмаль аэрозольная Kudo для пластика RAL 8017 серая Образует прочное покрытие которое не трескается даже в условиях низких температур Хорошая адгезия укрывистость устойчивость к атмосферным воздействиям Сохраняет свою эластичность после высыхания Не требует предварительного грунтования

В составе содержатся компоненты повышающие устойчивость лакокрасочного покрытия к механическим воздействиям и истиранию

Особенности применения

Для наружных и внутренних работ Предназначена для декоративной окраски поверхностей из большинства пластмасс пластиковые детали интерьера мебель садовый инвентарь и т д за исключением полиэтилена и полиуретана

Технология нанесения

Чтобы при работе аэрозоль не попал на прилегающие поверхности их нужно защитить Для достижения наилучших результатов грунтэмаль наносится при температуре окружающей среды не ниже 10С Перед использованием баллон нужно активно встряхнуть в течение 1  2 минут

Перед обработкой пластиковая поверхность подготавливается Она должна быть чистой сухой При необходимости делается обезжиривание Для подготовки поверхности рекомендуется использовать удалитель силикона KUDO

Наносится грунтэмаль с расстояния в 25  30 см равномерным слоем При температуре 20С на его высыхание уйдет около 20 минут 

По окончании работы во избежание засорения головки распылителя перевернуть баллон вверх дном и распылять до тех пор пока не перестанет поступать состав

Техника безопасности

Хранение продукции осуществляется в месте защищенном от внешних воздействий удаленном от источников огня и тепла недоступном для детей Грунтование выполнять с использованием средств индивидуальной защиты Рядом с местом распыления не должно быть огня в любых его проявлениях Пары продукта не вдыхать избегать контакта с открытыми участками кожи попаданий в глаза В экстренной ситуации обратиться за помощью к врачу","{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Способ нанесения': 'через форсунку баллона', 'Тип поверхности': 'пластик / ПВХ', 'Колеровка': 'готовый цвет', 'Состав,': 'полиолефиновые смолы', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'серый', 'Артикул': 'KU-6001', 'Время полного высыхания (ч)': '2', 'Время высыхания на отлип, (ч)': '20 минут', 'Расход (1 слой), (г/кв.м)': 'примерно 2 м.кв/баллон', 'Температура применения, (град. C)': 'не ниже +10', 'Рекомендованное количество слоев покрытия': '1-2'}"
Эмаль Hobby для бытовой техники белый 0.007 л,230,"Эмаль Hobby для бытовой техники  Цвет  белый Простая в применении легко наносится без подтеков и разводов Обладает хорошей влагостойкостью и имеет в составе светостойкие пигменты поэтому со временем не теряет своего цвета

Особенности применения

Эмаль предназначена для ретуширования и реставрации металлических и пластиковых поверхностей домашней бытовой техники холодильников стиральных машин печей СВЧ плит и тп Может использоваться как снаружи так и внутри помещения 

Технология нанесения

Поверхность под покраску подготавливается Она должна быть чистой сухой без жирных пятен Оптимальный инструмент для работы  традиционная кисть Наносится состав непосредственно на проблемные места где находятся сколы царапины трещины и другие дефекты После обработанному месту требуется время на высыхание

Техника безопасности

Хранение продукции осуществляется в сухом месте защищенном от внешних воздействий недоступном для детей Окрашивание проводить только с использованием средств защиты Избегать контакта эмали с открытыми участками кожи попадания в глаза Не принимать внутрь В экстренной ситуации обратиться к врачу","{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Тип поверхности': 'пластик / ПВХ\xa0/\xa0металл', 'Колеровка': 'ручная', 'Состав,': 'нитроцеллюлоза', 'Готовность к применению': 'готов к применению', 'Бренд': 'Хобби', 'Страна производителя': 'ШВЕЦИЯ', 'Цвет': 'белый', 'Способ нанесения': 'кисть', 'Время полного высыхания (ч)': '2', 'Рекомендованное количество слоев покрытия': '1-2'}"
Эмаль ремонтная Kudo KU-7K6101 для ПВХ профиля с кисточкой белая,140,"Эмаль ремонтная Kudo для ПВХ профиля с кисточкой белая обладает хорошей укрывистостью и атмосферостойкостью имеет превосходную адгезию к окрашиваемой поверхности Высококачественная эмаль предназначена для окраски пластиковых окон подоконников кабельканалов сайдинга Не требует предварительного грунтования Устойчива к механическим воздействиям и истиранию Эмаль сохраняет эластичность после высыхания не растрескивается при эксплуатации окрашенного элемента в условиях низких температур

Применение перед использованием встряхните флакон 23 мин Нанесите кисточкой эмаль на чистый сухой обезжиренный и очищенный от грязи дефектный участок поверхности Время полного высыхания при температуре 20С  2 часа","{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Область применения': 'для жилых и офисных помещений\xa0/\xa0для ПВХ', 'Степень блеска поверхности': 'полуматовая', 'Способ нанесения': 'кисть', 'Разбавитель (растворитель)': 'не разбавлять', 'Тип поверхности': 'пластик / ПВХ', 'Колеровка': 'нет', 'Состав,': 'акриловый', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Артикул': 'KU-7K6101', 'Время полного высыхания (ч)': '2', 'Время высыхания на отлип, (ч)': '0.17-0.25', 'Расход (1 слой), (г/кв.м)': '0.01м2/один флакон', 'Температура применения, (град. C)': 'от +10', 'Рекомендованное количество слоев покрытия': '2-3'}"
Эмаль для радиаторов отопления KU-5102 Kudo белая матовая,320,"Алкидная эмаль KUDO предназначена для защитнодекоративной окраски систем отопления батарей радиаторов трубопроводов водоснабжения Эмаль быстро высыхает обладает высокой укрывающей способностью превосходно подходит как для окрашивания новых поверхностей так и для ремонта старых

После высыхания эмаль образует надежное атмосферостойкое покрытие с высокой твердостью и длительным сроком эксплуатации способное выдерживать нагревание до 80С в течение всего срока службы окрашенного элемента системы отопления

Покрытие имеет хорошую сопротивляемость к удару изгибу и другим механическим воздействиям устойчиво к кратковременному воздействию воды теплоносителей на основе этиленгликоля бытовым моющим средствам

Применение



Во избежание попадания следов аэрозоля рекомендуется защищать поверхности не подлежащие окраске 

Для достижения наилучших результатов эмаль следует наносить при температуре окружающей среды не ниже 10С 

Перед использованием баллон энергично встряхивать в течение 23х минут 

Эмаль наносить с расстояния 2530 см на предварительно обезжиренную зачищенную и загрунтованную поверхность в 23 слоя с промежуточной сушкой 1015 минут при температуре 20С Время сушки на отлип при температуре 20С не менее 1 часа Время полного высыхания при температуре 20С 12 часов

Внимание По окончании работы во избежание засорения головки распылителя перевернуть баллон вверх дном и распылять до тех пор пока не перестанет поступать эмаль

Важно Наносить последующие слои ЛКМ необходимо либо не позднее чем через 2 часа либо не ранее чем через 2 недели Не требует дополнительного покрытия лаком","{'Тип работ': 'внутренние работы', 'Область применения': 'для жилых и офисных помещений', 'Степень блеска поверхности': 'матовая', 'Способ нанесения': 'вручную', 'Разбавитель (растворитель)': 'алкидный растворитель 2010', 'Тип поверхности': 'металл', 'Колеровка': 'нет', 'Состав,': 'алкидная смола', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белая', 'Артикул': 'KU-5102', 'Время полного высыхания (ч)': '12', 'Время высыхания на отлип, (ч)': '1', 'Расход (1 слой), (г/кв.м)': '260', 'Температура применения, (град. C)': '+20', 'Рекомендованное количество слоев покрытия': '2-3'}"
Грунт-эмаль аэрозольная Kudo для пластика RAL 7035 Светло-серая 0.52 л,320,"Грунтэмаль аэрозольная Kudo для пластика RAL 8017 светлосерая Образует прочное покрытие которое не трескается даже в условиях низких температур Хорошая адгезия укрывистость устойчивость к атмосферным воздействиям Сохраняет свою эластичность после высыхания Не требует предварительного грунтования

В составе содержатся компоненты повышающие устойчивость лакокрасочного покрытия к механическим воздействиям и истиранию

Особенности применения

Для наружных и внутренних работ Предназначена для декоративной окраски поверхностей из большинства пластмасс пластиковые детали интерьера мебель садовый инвентарь и т д за исключением полиэтилена и полиуретана

Технология нанесения

Чтобы при работе аэрозоль не попал на прилегающие поверхности их нужно защитить Для достижения наилучших результатов грунтэмаль наносится при температуре окружающей среды не ниже 10С Перед использованием баллон нужно активно встряхнуть в течение 1  2 минут

Перед обработкой пластиковая поверхность подготавливается Она должна быть чистой сухой При необходимости делается обезжиривание Для подготовки поверхности рекомендуется использовать удалитель силикона KUDO

Наносится грунтэмаль с расстояния в 25  30 см равномерным слоем При температуре 20С на его высыхание уйдет около 20 минут 

По окончании работы во избежание засорения головки распылителя перевернуть баллон вверх дном и распылять до тех пор пока не перестанет поступать состав

Техника безопасности

Хранение продукции осуществляется в месте защищенном от внешних воздействий удаленном от источников огня и тепла недоступном для детей Грунтование выполнять с использованием средств индивидуальной защиты Рядом с местом распыления не должно быть огня в любых его проявлениях Пары продукта не вдыхать избегать контакта с открытыми участками кожи попаданий в глаза В экстренной ситуации обратиться за помощью к врачу","{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Способ нанесения': 'через форсунку баллона', 'Тип поверхности': 'пластик / ПВХ', 'Колеровка': 'готовый цвет', 'Состав,': 'полиолефиновые смолы', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'светло-серый', 'Артикул': 'KU-6005', 'Время полного высыхания (ч)': '2', 'Время высыхания на отлип, (ч)': '20 минут', 'Расход (1 слой), (г/кв.м)': 'примерно 2 м.кв/баллон', 'Температура применения, (град. C)': 'не ниже +10', 'Рекомендованное количество слоев покрытия': '1-2'}"
Эмаль аэрозольная Kudo для ПВХ профиля белая KU-6101 0.52 л,269,"Эмаль аэрозольная Kudo для ПВХ профиля белая KU6101 Объем упаковки  052 л Хорошая укрывистость превосходная адгезия к окрашиваемой поверхности устойчивость к атмосферным воздействиям Покрытие эластичное даже после высыхания отсутствие трещин в том числе при эксплуатации поверхности в условиях низких температур Входящие в состав компоненты обеспечивают устойчивость лакокрасочного покрытия к механическим воздействиям и истиранию

Особенности применения

Для окрашивания пластиковых окон подоконников кабельканалов сайдинга Не требует предварительного грунтования

Технология нанесения

Чтобы при работе аэрозоль не попал на прилегающие поверхности их нужно защитить Для достижения наилучших результатов грунтэмаль наносится при температуре окружающей среды не ниже 10С Перед использованием баллон нужно активно встряхнуть в течение 1  2 минут

Поверхность под покраску должна быть чистой сухой При необходимости делается обезжиривание Распыление осуществляется с расстояния в 25  30 см Покрытие делается толщиной в 2  3 слоя Длительность промежуточной сушки составляет 10 минут Готовность покрытия на отлип при температуре 20С занимает 10  15 минут Поверхность полностью высыхает при тех же условиях за 2 часа

По окончании работы во избежание засорения головки распылителя перевернуть баллон вверх дном и распылять до тех пор пока не перестанет поступать состав

Техника безопасности

Хранение продукции осуществляется в месте защищенном от внешних воздействий удаленном от источников огня и тепла недоступном для детей Грунтование выполнять с использованием средств индивидуальной защиты Рядом с местом распыления не должно быть огня в любых его проявлениях Пары продукта не вдыхать избегать контакта с открытыми участками кожи попаданий в глаза В экстренной ситуации обратиться за помощью к врачу","{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Способ нанесения': 'через форсунку баллона', 'Тип поверхности': 'пластик / ПВХ', 'Колеровка': 'готовый цвет', 'Состав,': 'акриловый', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Артикул': 'KU-6101', 'Время полного высыхания (ч)': '2', 'Время высыхания на отлип, (ч)': '15 минут', 'Расход (1 слой), (г/кв.м)': 'примерно 2 м.кв/баллон', 'Температура применения, (град. C)': 'не ниже +10', 'Рекомендованное количество слоев покрытия': '2-3', 'Фасовка (л)': '0.52'}"
